    learning_rate =0.1,
    n_estimators=1000,
    max_depth=5,
    min_child_weight=1,
    gamma=0,
    subsample=0.8,
    colsample_bytree=0.8,
    objective='multi:softmax',
    nthread=24,
    scale_pos_weight=1,
    seed=27
[220]	train-merror:0.11017+0.000245759	test-merror:0.118414+0.000737787
[221]	train-merror:0.110071+0.000254141	test-merror:0.118407+0.000781233
[222]	train-merror:0.110009+0.000252245	test-merror:0.118277+0.000693171
[223]	train-merror:0.109907+0.000276632	test-merror:0.118179+0.000771275
[224]	train-merror:0.109782+0.000232904	test-merror:0.11811+0.000721558
[225]	train-merror:0.109646+0.000260823	test-merror:0.118027+0.000721351
[226]	train-merror:0.109526+0.000344188	test-merror:0.117989+0.000714391
[227]	train-merror:0.109385+0.000249514	test-merror:0.117859+0.000864403
[228]	train-merror:0.109281+0.00023458	test-merror:0.11776+0.000838981
[229]	train-merror:0.109221+0.000195537	test-merror:0.117734+0.000899131
[230]	train-merror:0.109125+0.000202561	test-merror:0.117635+0.000908822
[231]	train-merror:0.109006+0.000214925	test-merror:0.117544+0.000969195
[232]	train-merror:0.10889+0.000195421	test-merror:0.117487+0.000866232
[233]	train-merror:0.108784+0.000167546	test-merror:0.117464+0.000880617
[234]	train-merror:0.108665+0.000209914	test-merror:0.117399+0.000913167
[235]	train-merror:0.108616+0.000243628	test-merror:0.117316+0.000950392
[236]	train-merror:0.108516+0.000253365	test-merror:0.117232+0.000932061
[237]	train-merror:0.108442+0.00024534	test-merror:0.117183+0.000977879
[238]	train-merror:0.108326+0.000231428	test-merror:0.117088+0.0010032
[239]	train-merror:0.1082+0.000270646	test-merror:0.117034+0.000944263
[240]	train-merror:0.108113+0.000278	test-merror:0.116974+0.000931121
[241]	train-merror:0.108004+0.000303968	test-merror:0.116947+0.000879758
[242]	train-merror:0.107902+0.000281859	test-merror:0.116818+0.000839426
[243]	train-merror:0.107847+0.000263935	test-merror:0.116677+0.00082624
[244]	train-merror:0.107683+0.000259129	test-merror:0.11659+0.00082381
[245]	train-merror:0.107565+0.000271048	test-merror:0.116548+0.000844591
[246]	train-merror:0.107486+0.000251797	test-merror:0.11654+0.000831003
[247]	train-merror:0.107412+0.000241873	test-merror:0.116483+0.000870563
[248]	train-merror:0.107275+0.000334928	test-merror:0.116354+0.000881634
[249]	train-merror:0.107184+0.000276884	test-merror:0.116248+0.000841233
